location,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,population,population_density,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,hosp_patients_per_million,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,median_age,excess_mortality
Timor,6570.102,30.3,69.5,0.606,1343875.0,87.176,1.1085714285714285,0.0,,,,29.15,4262.0,45.327,18.0,
Togo,1429.813,49.2,61.04,0.515,8478242.0,143.366,0.6883571428571429,0.006071428571428572,,,,5.57,657.875,38.89,19.4,
Tunisia,10849.297,2.0,76.7,0.74,11935764.0,74.228,18.154999999999998,0.43014285714285716,,,,39.54384615384615,3272.4615384615386,16.67,32.7,
Turkey,25129.341,0.2,77.69,0.82,85042736.0,104.914,311.1253571428571,2.449785714285714,,,,58.20071428571429,1738.142857142857,28.7,31.6,
Uganda,1697.707,41.6,63.37,0.544,47123533.0,213.759,1.149357142857143,0.03621428571428571,,,,1.41,1535.8181818181818,,16.4,
Ukraine,7894.393,0.1,72.06,0.779,43466822.0,77.39,504.74435714285715,15.649214285714285,,,,19.641428571428573,5355.642857142857,58.33,41.4,
United Kingdom,39753.244,0.2,81.32,0.932,68207114.0,272.898,535.6688571428571,2.354071428571429,14.612250000000001,130.38014285714286,130.38014285714286,67.37538461538462,5951.153846153846,41.2,40.8,
United States,54225.446,1.2,78.86,0.926,332915074.0,35.608,237.66799999999998,3.4915714285714285,34.08561538461539,125.56792307692308,125.56792307692308,57.580714285714286,3542.214285714286,46.29749999999999,38.3,
Uruguay,20551.409,0.1,77.91,0.817,3485152.0,19.751,54.61664285714286,0.492,,,,75.515,1576.857142857143,37.04,35.6,
Vanuatu,2921.909,13.2,70.47,0.609,314464.0,22.662,0.0,0.0,,,,11.33,4125.636363636364,19.44,23.1,
Vietnam,6171.884,2.0,75.4,0.704,98168829.0,308.127,79.44585714285714,0.7541428571428571,,,,34.376,13128.076923076924,,32.6,
World,15469.207,10.0,72.58,0.737,7874965730.0,58.045,61.123714285714286,0.908,,,,40.449285714285715,3941.9285714285716,,30.9,
Yemen,1479.147,18.8,66.12,0.47,30490639.0,53.508,0.31050000000000005,0.08514285714285715,,,,1.14,449.15384615384613,23.15,20.3,
Zambia,3689.251,57.5,63.89,0.584,18920657.0,22.995,0.9298571428571429,0.016785714285714286,,,,3.1999999999999997,265.64285714285717,44.44,17.7,
Zimbabwe,1899.775,21.4,61.49,0.571,15092171.0,42.729,2.1345,0.08107142857142857,,,,17.743076923076924,1313.2857142857142,,19.6,
