total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
38621,470,0.0,0.0,0.0,2020-10-27
37208,452,0.0,0.0,0.0,2020-10-26
36380,437,0.0,0.0,0.0,2020-10-25
33959,429,0.0,0.0,0.0,2020-10-24
31717,413,0.0,0.0,0.0,2020-10-23
29850,406,0.0,0.0,0.0,2020-10-22
64704,752,0.0,0.0,0.0,2020-11-07
62305,717,0.0,0.0,0.0,2020-11-06
59415,683,0.0,0.0,0.0,2020-11-05
56567,654,0.0,0.0,0.0,2020-11-04
54087,628,0.0,0.0,0.0,2020-11-03
52660,594,0.0,0.0,0.0,2020-11-02
51495,562,0.0,0.0,0.0,2020-11-01
49316,546,0.0,0.0,0.0,2020-10-31
85519,1082,0.0,0.0,0.0,2020-11-16
84206,1049,0.0,0.0,0.0,2020-11-15
81844,1006,0.0,0.0,0.0,2020-11-14
78978,968,0.0,0.0,0.0,2020-11-13
75922,925,0.0,0.0,0.0,2020-11-12
72840,893,0.0,0.0,0.0,2020-11-11
70243,865,0.0,0.0,0.0,2020-11-10
68776,832,0.0,0.0,0.0,2020-11-09
67247,794,0.0,0.0,0.0,2020-11-08
108014,1445,0.0,0.0,0.0,2020-11-24
105691,1398,0.0,0.0,0.0,2020-11-23
103718,1353,0.0,0.0,0.0,2020-11-22
100410,1304,0.0,0.0,0.0,2020-11-21
96837,1257,0.0,0.0,0.0,2020-11-20
93879,1200,0.0,0.0,0.0,2020-11-19
90715,1151,0.0,0.0,0.0,2020-11-18
87464,1113,0.0,0.0,0.0,2020-11-17
134881,1916,0.0,0.0,0.0,2020-12-02
131342,1861,0.0,0.0,0.0,2020-12-01
128442,1786,0.0,0.0,0.0,2020-11-30
126612,1712,0.0,0.0,0.0,2020-11-29
123693,1655,0.0,0.0,0.0,2020-11-28
119706,1600,0.0,0.0,0.0,2020-11-27
115626,1552,0.0,0.0,0.0,2020-11-26
111617,1501,0.0,0.0,0.0,2020-11-25
168388,2484,0.0,0.0,0.0,2020-12-11
163992,2420,0.0,0.0,0.0,2020-12-10
159372,2367,0.0,0.0,0.0,2020-12-09
